Context,Response
Context: i would've thought that somebody would have told you.,"Response: no, i had no idea."
"Context: no, i had no idea.","Response: well, she did, her baby was 8 pounds 6 ounces."
"Context: well, she did, her baby was 8 pounds 6 ounces.","Response: oh my god, that's great!"
"Context: oh my god, that's great!",Response: are you going to go and visit her and the baby?
Context: are you going to go and visit her and the baby?,Response: i think that i might.
Context: i think that i might.,Response: good! i just thought i'd let you know.
Context: good! i just thought i'd let you know.,Response: thanks for telling me.
Context: have you heard what happened?,Response: heard what?
Context: heard what?,Response: debrah already had her baby.
Context: debrah already had her baby.,Response: i didn't know that.
Context: i didn't know that.,Response: i thought you knew.
Context: i thought you knew.,Response: i honestly didn't know.
Context: i honestly didn't know.,Response: the baby was 8 pounds 6 ounces.
Context: the baby was 8 pounds 6 ounces.,Response: that's good to hear.
Context: that's good to hear.,Response: will you go and visit them?
Context: will you go and visit them?,Response: of course i will.
Context: of course i will.,Response: i just wanted to give you the good news.
Context: i just wanted to give you the good news.,Response: thanks for letting me know.
Context: have you heard the news?,Response: i haven't heard anything.
Context: i haven't heard anything.,Response: debrah had her baby last week.
Context: debrah had her baby last week.,Response: nobody told me.
Context: nobody told me.,Response: i thought you heard.
Context: i thought you heard.,Response: i really wasn't told anything.
Context: i really wasn't told anything.,Response: she was a cute 8 pounds 6 ounces.
Context: she was a cute 8 pounds 6 ounces.,"Response: wow, how exciting."
"Context: wow, how exciting.","Response: i know, you should really go and see her and the baby."
"Context: i know, you should really go and see her and the baby.",Response: of course i will.
Context: of course i will.,Response: i just wanted to let you know what happened.
Context: did you go to school today?,Response: of course. did you?
Context: of course. did you?,"Response: i didn't want to, so i didn't."
"Context: i didn't want to, so i didn't.","Response: that's sad, but have you gone to the movies recently?"
"Context: that's sad, but have you gone to the movies recently?",Response: that's a switch.
Context: that's a switch.,"Response: i'm serious, have you?"
"Context: i'm serious, have you?","Response: no, i haven't. why?"
"Context: no, i haven't. why?",Response: i really want to go to the movies this weekend.
Context: i really want to go to the movies this weekend.,Response: so go then.
Context: so go then.,Response: i really don't want to go by myself.
Context: i really don't want to go by myself.,"Response: well anyway, do you plan on going to school tomorrow?"
"Context: well anyway, do you plan on going to school tomorrow?","Response: no, i think i'm going to go to the movies."
Context: did you make it to school today?,Response: i always do. did you go to school today?
Context: i always do. did you go to school today?,"Response: no, i didn't."
"Context: no, i didn't.","Response: you should have, but have you seen any movies lately?"
"Context: you should have, but have you seen any movies lately?",Response: that was an odd change of subject.
Context: that was an odd change of subject.,"Response: maybe it was, but answer the question."
"Context: maybe it was, but answer the question.","Response: no, not recently."
"Context: no, not recently.",Response: i want to go to see a movie this weekend.
Context: i want to go to see a movie this weekend.,Response: what's stopping you then?
Context: what's stopping you then?,Response: i don't want to go alone.
